conseq	area-under-curve
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&non_coding_transcript_variant	2320.567	
stop_lost	2302.9773	
non_coding_transcript_variant	2297.455	
splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	2288.5007	
splice_donor_variant&splice_donor_region_variant&intron_variant	2280.5	
feature_truncation&inframe_deletion	2272.0	
splice_region_variant&splice_polypyrimidine_tract_variant&intron_variant&NMD_transcript_variant	2268.913	
splice_donor_variant&splice_donor_5th_base_variant&intron_variant&non_coding_transcript_variant	2257.0	
inframe_insertion	2159.945	
feature_elongation&5_prime_UTR_variant&intron_variant	2128.5	
splice_acceptor_variant&NMD_transcript_variant	2094.875	
splice_acceptor_variant&non_coding_transcript_exon_variant	2017.8428	
splice_region_variant&intron_variant&NMD_transcript_variant	2017.0103	
splice_donor_region_variant&intron_variant&NMD_transcript_variant	1988.375	
incomplete_terminal_codon_variant&coding_sequence_variant	1886.0	
splice_region_variant&non_coding_transcript_variant	1454.75	
coding_sequence_variant&5_prime_UTR_variant&3_prime_UTR_variant&intron_variant	1342.5	
frameshift_variant&stop_lost	720.5	
